Edward Dunigan & Brother, Magnitude: 14
P.J. Kenedy, Magnitude: 8
James Duffy, Magnitude: 4
D. & J. Sadlier & Co., Magnitude: 3
P. O'Shea, Magnitude: 2
T.W. Strong, Magnitude: 2
J.B. Kirker, Magnitude: 2
P. J. Kenedy, Magnitude: 2
Catholic Publication Society, Magnitude: 1
Fielding Lucas, JR., Magnitude: 1
Thomas Sweeney, Magnitude: 1
M.T. Cozans, Magnitude: 1
George Quigley & Co, Magnitude: 1
J. and C. Mozley, Magnitude: 1
THE REFORMATION SOCIETY, Magnitude: 1
J.M. O'Toole, Magnitude: 1
P. Donahoe, Magnitude: 1
J. Murphy, Magnitude: 1
Webb and Levering, Magnitude: 1
D. O'Halloran, Magnitude: 1
H. & C. McGrath, Magnitude: 1
