James Duffy, Magnitude: 9
Benziger Brothers, Magnitude: 3
Catholic Publication Society, Magnitude: 3
J. Murphy, Magnitude: 2
P. Donahoe, Magnitude: 2
J.B. Kirker, Magnitude: 2
D. & J. Sadlier & Co., Magnitude: 2
H. & C. McGrath, Magnitude: 2
P.F. Cunningham, Magnitude: 2
C.M. Warren, Magnitude: 2
J.B. Piet, Magnitude: 2
M. Sullivan, Magnitude: 1
Augustin Coté & Co., Magnitude: 1
Burns and Oates, Magnitude: 1
P. O'Shea, Magnitude: 1
Felix O'Rourke, Magnitude: 1
William McSorley & Co., Magnitude: 1
Fr. Pustet, Magnitude: 1
J.B. Lippincott, Magnitude: 1
Richard Grace, Magnitude: 1
