Benziger Brothers, Magnitude: 36
M.H. Gill & Sons, Magnitude: 19
T. Washbourne, Magnitude: 18
James Duffy, Magnitude: 6
Redemptorist fathers, Magnitude: 4
P.J. Kenedy, Magnitude: 3
B. Herder, Magnitude: 3
Burns and Oates, Magnitude: 2
J. Murphy, Magnitude: 1
C. Wildermann, Magnitude: 1
Catholic Press Association, Magnitude: 1
John J. Bodkin, Magnitude: 1
J.B. Piet, Magnitude: 1
Catholic Publication Society, Magnitude: 1
Paulist Press, Magnitude: 1
P. O'Shea, Magnitude: 1
Fr. Pustet, Magnitude: 1
