James Duffy, Magnitude: 90
Benziger Brothers, Magnitude: 52
J. Murphy, Magnitude: 32
M.H. Gill & Sons, Magnitude: 25
T. Washbourne, Magnitude: 23
B. Herder, Magnitude: 19
Edward Dunigan & Brother, Magnitude: 17
Fr. Pustet, Magnitude: 16
C. Wildermann, Magnitude: 15
P.J. Kenedy, Magnitude: 13
Fielding Lucas, JR., Magnitude: 11
P. O'Shea, Magnitude: 10
D. & J. Sadlier & Co., Magnitude: 9
John Coyne, Magnitude: 8
Richard Grace, Magnitude: 7
Catholic Publication Society, Magnitude: 7
P. Donahoe, Magnitude: 6
H. & C. McGrath, Magnitude: 6
Thomas Sweeney, Magnitude: 4
J.B. Kirker, Magnitude: 4
Burns and Oates, Magnitude: 4
J.B. Piet, Magnitude: 4
Redemptorist fathers, Magnitude: 4
P. J. Kenedy, Magnitude: 3
Webb and Levering, Magnitude: 3
T.W. Strong, Magnitude: 2
C.M. Warren, Magnitude: 2
Augustin Coté & Co., Magnitude: 2
Uknown, Magnitude: 2
P.F. Cunningham, Magnitude: 2
T.B. Noonan, Magnitude: 1
J. P. Walsh, Magnitude: 1
Thomas Richardson & Son, Magnitude: 1
D. O'Halloran, Magnitude: 1
Catholic Press Association, Magnitude: 1
Flynn & Mahony, Magnitude: 1
Paulist Press, Magnitude: 1
J. and C. Mozley, Magnitude: 1
Felix O'Rourke, Magnitude: 1
E. Cummiskey, Magnitude: 1
M. Sullivan, Magnitude: 1
THE REFORMATION SOCIETY, Magnitude: 1
M.T. Cozans, Magnitude: 1
J.B. Lippincott, Magnitude: 1
George Quigley & Co, Magnitude: 1
J.M. O'Toole, Magnitude: 1
William McSorley & Co., Magnitude: 1
John J. Bodkin, Magnitude: 1
