Title and number of connections between publishers it occasioned: ('Preparation for Death', 34) | Source Places: {'Boston', 'Dublin', 'New York', 'Baltimore', 'Louisville'} | Target Places: {'Boston', 'Brooklyn, St Louis', 'Philadelphia', 'New York', 'Baltimore', 'Louisville'}
Title and number of connections between publishers it occasioned: ('Instructions on the Commandments', 28) | Source Places: {'Boston', 'Dublin', 'New York'} | Target Places: {'Boston', 'Cincinnati', 'Chicago', 'Dublin', 'New York'}
Title and number of connections between publishers it occasioned: ('The Glories of Mary', 26) | Source Places: {'Dublin', 'New York', 'London', 'Philadelphia'} | Target Places: {'Chicago', 'London', 'Cincinnati', 'Philadelphia', 'New York'}
Title and number of connections between publishers it occasioned: ('Visits to the Most Holy Sacrament', 10) | Source Places: {'Dublin', 'New York', 'nan'} | Target Places: {'nan', 'Cincinnati', 'Chicago', 'Dublin', 'New York'}
Title and number of connections between publishers it occasioned: ('The Love of Our Lord Jesus Christ. Reduced to Practice', 10) | Source Places: {'Dublin', 'New York', 'Baltimore'} | Target Places: {'New York', 'Baltimore'}
Title and number of connections between publishers it occasioned: ('Explanation of the Psalms and Canticles', 10) | Source Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'} | Target Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'}
Title and number of connections between publishers it occasioned: ('A Short Treatise on Prayer', 8) | Source Places: {'Dublin', 'New York', 'Baltimore'} | Target Places: {'Dublin', 'New York', 'Cincinnati', 'Chicago'}
Title and number of connections between publishers it occasioned: ('The mysteries of the incarnation', 8) | Source Places: {'New York', 'London'} | Target Places: {'New York', 'London'}
Title and number of connections between publishers it occasioned: ('The Mission Book : A Manual', 8) | Source Places: {'Dublin', 'New York', 'St. Paul, Minn.'} | Target Places: {'Boston', 'Dublin', 'New York'}
Title and number of connections between publishers it occasioned: ('Victories of the martyrs', 6) | Source Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'} | Target Places: {'New York', 'London', 'Cincinnati', 'Chicago'}
Title and number of connections between publishers it occasioned: ('The Mission-Book of the Congregation of the Most Holy Redeemer: a manual of instructions and prayers adapted to preserve the fruits of the mission', 5) | Source Places: {'Boston', 'New York', 'Montreal'} | Target Places: {'Quebec', 'New York', 'Cincinnati', 'Chicago'}
Title and number of connections between publishers it occasioned: ('The True Spouse of Jesus', 4) | Source Places: {'Dublin', 'New York'} | Target Places: {'Dublin', 'New York', 'Cincinnati', 'Chicago'}
Title and number of connections between publishers it occasioned: ('The new mission book of the Congregation of the Most Holy Redeemer', 3) | Source Places: {'New York', 'St. Louis'} | Target Places: {'Los Angeles'}
Title and number of connections between publishers it occasioned: ('The holy eucharist', 3) | Source Places: {'', 'New York'} | Target Places: {'New York'}
Title and number of connections between publishers it occasioned: ('The Holy Mass : the sacrifice of Jesus Christ : the ceremonies of the Mass : preparation and Thanksgiving : the Mass and the Office that are hurriedly said', 3) | Source Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'} | Target Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'}
Title and number of connections between publishers it occasioned: ('Abridged Sermons for All the Sundays in the Year', 3) | Source Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'} | Target Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'}
Title and number of connections between publishers it occasioned: ('The incarnation, birth, and infancy of Jesus Christ; or, The mysteries of the faith', 3) | Source Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'} | Target Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'}
Title and number of connections between publishers it occasioned: ('The Passion and the Death of Jesus Christ', 3) | Source Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'} | Target Places: {'London', 'Cincinnati', 'Chicago', 'Dublin', 'New York'}
